dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
ohsumed,autoencoder-is,0.2499423258191528,roberta,0.7419257808,0.7347074824,0.7454327794,0.7554010551,0.7305830998,0.7574673581,0.7677481911,0.7596013384,0.7487150456,0.7364334834,
ohsumed,biois,0.3904248471764685,roberta,0.7619621582,0.6992771848,0.7141903496,0.7270634452,0.7344687601,0.7538848641,0.7294250888,0.7445597796,0.7272422272,0.7263304421,
ohsumed,entropy-sublinear-ae-is,0.13904383590108438,roberta,0.7695096767,0.7387611774,0.7549050075,0.7547224711,0.7467609904,0.7364872869,0.7624998836,0.7455931440,0.7412718855,0.7622523087,
ohsumed,gmm-is,0.29995507432094953,roberta,0.7623150862,0.7333563701,0.7400474859,0.7333308665,0.7155418616,0.7485178959,0.7636321916,0.7185896365,0.7429891310,0.7702218036,
ohsumed,no-is,0.0,roberta,0.7851615204,0.7455796030,0.7821729358,0.7447376209,0.7467771208,0.7558491619,0.7581101688,0.7622149587,0.7660641618,0.7745234626,
ohsumed,sublinear-ae-is,0.2499544683727318,roberta,0.7596216099,0.7226097716,0.7429096626,0.7524015389,0.7503105912,0.7607731012,0.7622634783,0.7278609903,0.7432495300,0.7485576727,
pang_movie,adaptive-cluster-is,0.42679059086098603,roberta,0.8792133773,0.8636654304,0.8494908314,0.8657675452,0.8205398395,0.8695967085,0.8581591156,0.8742747500,0.8752027829,0.8742326859,
pang_movie,adaptive-perplexity,0.35795870056690116,roberta,0.8725715890,0.8761198445,0.8646411276,0.8760871173,0.8686383241,0.8599044767,0.8667537534,0.8685341790,0.8779968165,0.8555973747,
pang_movie,autoencoder-is,0.24990099933063972,roberta,0.8762308784,0.8817595048,0.8789688669,0.8509428686,0.8713099261,0.8683546626,0.8780419118,0.8655459072,0.8788075881,0.8713099261,
pang_movie,biois,0.34311886041392237,roberta,0.8885649577,0.8677101569,0.8855498451,0.8808620958,0.8563351176,0.8606289753,0.8739730378,0.8732770531,0.8658535405,0.8676877979,
