dataset,method,time_mean,time_error,time_n,reduction_mean,reduction_error,reduction_n
pang_movie,no-is,0.004935526847839355,0.00022197406575387565,10,0.0,0.0,10
pang_movie,perplexity-is,5.593388056755066,0.8409377696477915,10,0.299818671840805,1.4138478581755749e-05,10
reuters90,adaptive-cluster-is,9.249353170394897,0.23962276829176102,10,0.41819141909981655,0.007611149400995798,10
reuters90,adaptive-perplexity,10.443260073661804,0.4096640107630015,10,0.299123574866918,0.03710426472167884,10
reuters90,adaptive-v2-perplexity,8.059439206123352,0.8413772767030325,10,0.3818899860974089,0.000443207565341462,10
reuters90,autoencoder-is,30.497270774841308,1.4107119813211817,10,0.2999507820719703,2.929345381677779e-05,10
reuters90,biois,291.6986248254776,3.7111744720455055,10,0.40416609843338325,0.0006980516367282697,10
reuters90,gmm-is,57.2889568567276,8.50507401024537,10,0.2999507820719703,2.929345381677779e-05,10
reuters90,no-is,0.00756986141204834,0.0008764383667044316,10,0.0,0.0,10
reuters90,perplexity-is,8.050467348098755,0.8972440999613673,10,0.29993413205532027,4.786039484880642e-05,10
sst1,adaptive-cluster-is,7.314774394035339,0.29771467051457146,10,0.42251260670514645,0.006140031017303447,10
sst1,adaptive-perplexity,9.567248630523682,1.6039397863045322,10,0.3631005128944819,0.0054586445310572905,10
sst1,adaptive-v2-perplexity,5.856408500671387,0.715128067866455,10,0.3853320207104415,6.044520097162453e-05,10
sst1,autoencoder-is,9.271023797988892,0.6747328294780232,10,0.29992033432002585,1.0598230666098929e-05,10
sst1,biois,195.00257465839385,46.409042808688454,10,0.5540465509697401,0.001243016885875269,10
sst1,gmm-is,22.653175234794617,4.7596271367527825,10,0.29992033432002585,1.0598230666098929e-05,10
sst1,no-is,0.005361819267272949,0.0001327042010528626,10,0.0,0.0,10
sst1,perplexity-is,5.764160943031311,0.6949308455744476,10,0.29992033432002585,1.0598230666098929e-05,10
sst2,adaptive-cluster-is,5.982904648780822,0.2978665636912168,10,0.4286324719180565,0.006407900621131396,10
sst2,adaptive-perplexity,5.382931590080261,0.7211538079667943,10,0.37520971442402046,0.005894302702785889,10
sst2,adaptive-v2-perplexity,5.109917163848877,0.6814695902586996,10,0.38565830994073197,5.577444094568672e-05,10
sst2,autoencoder-is,7.779941964149475,0.43804473358900187,10,0.2999410528891098,1.1980245181333378e-05,10
sst2,biois,0.541261625289917,0.004376732601712669,10,0.35933974292481025,0.0013634022768030667,10
sst2,gmm-is,14.422692584991456,5.299511961859474,10,0.2999410528891098,1.1980245181333378e-05,10
sst2,no-is,0.004427361488342285,0.00013259266893104194,10,0.0,0.0,10
sst2,perplexity-is,5.231670951843261,0.6578006598466039,10,0.2999410528891098,1.1980245181333378e-05,10
subj,adaptive-cluster-is,6.375966572761536,0.30262429375493627,10,0.4215777777777778,0.010565228059442407,10
subj,adaptive-perplexity,5.6175257682800295,0.6652104496627009,10,0.4124333333333333,0.0038413569335570435,10
subj,adaptive-v2-perplexity,5.425232887268066,0.6375103952061094,10,0.3869222222222222,7.54052387599444e-05,10
subj,autoencoder-is,8.973279023170472,0.6062494373787118,10,0.3,0.0,10
subj,biois,5.775760817527771,8.192640483152395,10,0.30741111111111113,0.0006817431829265193,10
subj,gmm-is,18.894332695007325,4.951161015639335,10,0.3,0.0,10
subj,no-is,0.004563236236572265,0.00011519009686181963,10,0.0,0.0,10
subj,perplexity-is,5.4626874923706055,0.7248452016116628,10,0.3,0.0,10
trec,adaptive-cluster-is,4.397162914276123,0.6058511820520935,10,0.39699061330209034,0.005080913730355464,10
trec,adaptive-perplexity,2.9934767484664917,0.6479178305219572,10,0.41173833542705773,0.00485013058275197,10
trec,adaptive-v2-perplexity,2.4959673643112184,0.4413518607498231,10,0.3210498174897808,0.001624500131110727,10
trec,autoencoder-is,4.148570346832275,0.9250591742998252,10,0.2998058559131903,1.6882814044856018e-05,10
trec,biois,138.90662820339202,68.8507003241901,10,0.4218002890831383,0.0012437078362896742,10
trec,gmm-is,6.50985176563263,2.4835887857987107,10,0.2998058559131903,1.6882814044856018e-05,10
trec,no-is,0.0028064489364624024,5.410780380046261e-05,10,0.0,0.0,10
trec,perplexity-is,2.9113017320632935,0.6126668359449201,10,0.2998058559131903,1.6882814044856018e-05,10
twitter,adaptive-cluster-is,5.163196063041687,0.8167613118424829,10,0.4142565103183665,0.011611005072201124,10
twitter,adaptive-perplexity,4.495785522460937,0.7513786941857908,10,0.2729262796737729,0.01827566235684983,10
twitter,adaptive-v2-perplexity,4.377426028251648,0.6436385971615696,10,0.3843234387094663,0.0001643321154148107,10
twitter,autoencoder-is,6.170998859405517,0.5081976264636887,10,0.29985866588116056,3.841624531568291e-05,10
twitter,biois,157.68597939014435,39.45729572960358,10,0.3647912682338563,0.00027246562246287367,10
twitter,gmm-is,11.598211121559142,4.047799215403478,10,0.29985866588116056,3.841624531568291e-05,10
twitter,no-is,0.0035498857498168944,0.0001655453387903967,10,0.0,0.0,10
twitter,perplexity-is,4.46834626197815,0.8364964882886663,10,0.29985866588116056,3.841624531568291e-05,10
vader_movie,adaptive-cluster-is,6.696086192131043,0.2805736284098609,10,0.4217244898181104,0.012835721735287891,10
vader_movie,adaptive-perplexity,6.013014245033264,0.7661944696934302,10,0.1669187499670468,0.011684331257950464,10
vader_movie,adaptive-v2-perplexity,5.845579504966736,0.7226493779803324,10,0.38529313512946145,0.00013837921843798368,10
vader_movie,autoencoder-is,10.694386863708496,0.8504152346814374,10,0.299899064683082,2.4872342715566526e-05,10
vader_movie,biois,1.6822169542312622,0.02834375379784544,10,0.3659265174539452,0.000655718021374568,10
vader_movie,gmm-is,32.72111568450928,7.5423408687405855,10,0.299899064683082,2.4872342715566526e-05,10
vader_movie,no-is,0.004945135116577149,0.0002869006184368917,10,0.0,0.0,10
vader_movie,perplexity-is,5.899537062644958,0.9070334709341952,10,0.299899064683082,2.4872342715566526e-05,10
webkb,adaptive-perplexity,6.33007276058197,0.9484852608473524,10,0.3735723228382148,0.03895144775495565,10
webkb,adaptive-v2-perplexity,6.165700507164002,0.8383918466674256,10,0.3829328570377477,0.00033832034845402857,10
webkb,autoencoder-is,9.823511791229247,1.250592004297959,10,0.2998604117436791,3.2661345972543235e-05,10
webkb,biois,231.86753871440888,12.878297149028462,10,0.3652205626640052,0.0007660629313544207,10
webkb,gmm-is,34.27815957069397,8.510669499666642,10,0.2998604117436791,3.2661345972543235e-05,10
webkb,no-is,0.004684066772460938,0.00024551945103837145,10,0.0,0.0,10
webkb,perplexity-is,6.15075261592865,0.8530517259498402,10,0.2998604117436791,3.2661345972543235e-05,10
wos11967,adaptive-perplexity,10.107076001167297,0.6660983418517477,10,0.3271974524599092,0.03743130134734686,10
wos11967,adaptive-v2-perplexity,8.058152890205383,0.7482593249621046,10,0.38370334662687827,0.0005691417497873357,10
