dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
mpqa,sublinear-ae-is,0.2500471440046525,modernbert,491.92,411.01,411.87,410.42,410.15,490.77,410.86,490.82,491.24,490.79,
mpqa,sublinear-ae-is,0.2500471440046525,roberta,425.59,304.05,305.74,304.05,304.11,304.10,307.02,422.76,304.15,304.38,
ohsumed,adaptive-cluster-is,0.40500729732675994,roberta,635.51,629.67,625.04,535.61,614.94,609.84,618.59,624.56,618.82,622.38,
ohsumed,adaptive-perplexity,0.4171978398668459,roberta,599.03,611.58,609.91,602.35,516.41,598.81,598.09,513.44,604.60,594.61,
ohsumed,autoencoder-is,0.2499423258191528,modernbert,852.58,851.88,851.86,713.25,853.72,851.98,852.96,851.73,853.55,851.90,
ohsumed,autoencoder-is,0.2499423258191528,roberta,735.17,631.17,733.14,837.40,837.65,733.20,733.49,840.23,734.08,734.11,
ohsumed,biois,0.3904248471764685,modernbert,597.25,710.09,708.34,707.61,707.98,707.20,707.83,706.12,706.77,708.50,
ohsumed,biois,0.3904248471764685,roberta,736.46,560.63,559.05,648.12,558.33,645.93,559.82,646.09,645.43,560.75,
ohsumed,entropy-sublinear-ae-is,0.13904383590108438,modernbert,964.78,967.11,985.82,994.76,967.44,994.33,972.19,974.21,984.19,970.78,
ohsumed,entropy-sublinear-ae-is,0.13904383590108438,roberta,829.20,949.84,845.24,854.02,947.02,854.79,718.42,839.30,726.67,834.90,
ohsumed,gmm-is,0.29995507432094953,roberta,726.98,725.31,727.48,623.39,725.75,725.43,623.97,624.24,830.31,726.15,
ohsumed,no-is,0.0,modernbert,1123.54,1120.64,1122.18,1122.98,1123.23,1121.44,1120.85,1120.89,1123.25,1120.92,
ohsumed,no-is,0.0,roberta,1021.42,1022.73,1166.95,1021.49,1021.72,1021.69,1022.16,1022.06,878.14,1022.24,
ohsumed,sublinear-ae-is,0.2499544683727318,modernbert,852.81,851.83,853.23,712.93,994.94,852.39,852.33,853.85,852.03,856.35,
ohsumed,sublinear-ae-is,0.2499544683727318,roberta,735.49,837.74,733.54,836.47,836.78,733.56,733.69,733.58,630.64,836.42,
pang_movie,adaptive-cluster-is,0.42679059086098603,roberta,256.69,301.13,296.05,252.28,249.38,292.60,299.22,345.03,291.43,250.24,
pang_movie,adaptive-perplexity,0.35795870056690116,roberta,278.48,328.79,273.07,329.19,330.29,329.52,274.10,336.52,274.10,274.87,
pang_movie,autoencoder-is,0.24990099933063972,modernbert,414.00,413.85,412.81,412.77,413.27,413.28,412.74,412.67,413.70,413.08,
pang_movie,autoencoder-is,0.24990099933063972,roberta,306.61,305.87,305.65,307.46,305.70,305.82,305.66,305.74,307.36,308.02,
pang_movie,biois,0.34311886041392237,modernbert,358.30,428.30,356.97,427.57,355.58,357.10,428.54,355.38,357.41,356.76,
pang_movie,biois,0.34311886041392237,roberta,336.33,279.17,334.58,279.40,333.90,279.44,334.94,333.34,282.78,335.01,
