dataset,method,reduction,class,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time_avg_ic
pang_movie,gmm-is,0.299818671840805,roberta,370.29,310.24,310.18,310.12,309.81,369.25,369.13,369.09,370.59,309.78,
pang_movie,no-is,0.0,roberta,424.26,423.09,423.12,422.92,423.09,423.02,423.22,423.20,422.85,507.76,
pang_movie,sublinear-ae-is,0.34993434351728964,roberta,269.23,266.22,317.98,317.92,266.22,267.14,369.51,317.87,266.27,266.05,
reuters90,adaptive-cluster-is,0.41819141909981655,roberta,513.21,373.75,450.80,493.99,456.48,433.79,504.40,435.79,501.41,568.19,
reuters90,adaptive-perplexity,0.4137733393474242,roberta,507.13,443.39,498.24,562.09,498.54,500.93,509.00,502.48,564.95,570.47,
reuters90,autoencoder-is,0.2998841847494271,roberta,675.96,675.77,530.79,603.93,529.21,530.46,531.27,605.59,602.36,529.33,
reuters90,biois,0.39306925329033093,roberta,796.60,729.50,731.27,795.90,730.01,729.63,795.62,665.74,797.44,730.39,
reuters90,entropy-sublinear-ae-is,0.24226558673055637,roberta,702.64,675.75,685.88,695.85,614.69,689.23,682.55,616.52,688.78,542.07,
reuters90,gmm-is,0.2999341166680657,roberta,608.15,606.35,459.35,755.48,608.18,611.38,534.71,610.26,534.96,535.40,
reuters90,no-is,0.0,roberta,740.97,844.72,845.41,740.13,847.76,741.10,744.44,848.25,850.24,744.62,
reuters90,sublinear-ae-is,0.34999133100151897,roberta,658.13,462.17,592.60,463.24,530.35,528.92,528.86,529.58,464.21,465.13,
sst1,adaptive-cluster-is,0.42251260670514645,roberta,277.82,331.09,337.94,339.84,338.58,277.86,279.28,333.23,271.24,282.43,
sst1,adaptive-perplexity,0.35632406969082353,roberta,372.34,311.02,309.11,305.81,367.17,306.98,364.59,364.86,367.33,311.16,
sst1,autoencoder-is,0.29992033432002585,roberta,404.27,337.09,404.62,402.90,337.19,403.48,402.84,403.13,337.36,404.77,
sst1,biois,0.5121326956682303,roberta,241.23,284.97,287.17,239.14,241.04,285.22,238.55,284.52,238.51,239.18,
sst1,entropy-sublinear-ae-is,0.29860802034606476,roberta,365.42,378.62,333.28,379.75,394.23,370.02,312.59,325.86,374.33,390.93,
sst1,gmm-is,0.29992033432002585,roberta,408.60,342.25,344.71,407.82,407.24,407.61,407.39,407.58,407.47,341.50,
sst1,no-is,0.0,roberta,565.34,470.16,470.64,470.33,564.14,470.76,565.53,471.66,566.36,470.73,
sst1,sublinear-ae-is,0.3500257760508047,roberta,296.94,353.00,353.94,295.43,355.10,295.78,354.94,353.08,296.27,295.63,
sst2,adaptive-cluster-is,0.4286324719180565,roberta,273.39,269.94,223.38,223.03,230.81,267.48,270.12,217.95,229.12,307.05,
sst2,adaptive-perplexity,0.36035696636718684,roberta,346.66,296.76,245.93,300.56,247.43,245.28,297.26,247.38,248.46,245.27,
sst2,autoencoder-is,0.2999410528891098,roberta,328.13,275.50,273.25,273.11,273.12,273.09,326.32,273.00,274.05,275.62,
sst2,biois,0.32148596473311164,roberta,311.86,362.87,310.75,311.00,259.68,261.08,311.44,311.66,258.92,259.99,
sst2,entropy-sublinear-ae-is,0.29854270600011873,roberta,251.58,311.57,258.74,260.53,304.96,312.68,262.84,255.96,259.82,312.29,
sst2,gmm-is,0.2999410528891098,roberta,339.62,282.91,282.67,282.76,284.04,282.76,282.78,282.49,282.78,283.97,
sst2,no-is,0.0,roberta,460.89,533.80,457.16,533.44,381.17,383.55,381.44,381.32,381.55,457.45,
sst2,sublinear-ae-is,0.3500236945448117,roberta,289.80,242.12,286.79,240.32,240.49,241.47,240.42,242.74,240.65,289.19,
subj,adaptive-cluster-is,0.4215777777777778,roberta,319.31,239.98,242.67,275.11,242.20,273.79,281.81,276.95,339.02,288.76,
