dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
twitter,gmm-is,0.39994917609856506,roberta,0.7497095515,0.8161967719,0.7614634082,0.7602091371,0.7817125733,0.7357524205,0.7495515307,0.7227496533,0.7987904562,0.8043260734,
twitter,no-is,0.0,roberta,0.8053392029,0.8251020326,0.7693563577,0.7382021906,0.8166910640,0.7482198257,0.7552913276,0.7764450449,0.8127957273,0.7527337157,
twitter,perplexity-is,0.41995775130813046,roberta,0.7733046742,0.7994670124,0.7588862220,0.7478862971,0.7672091570,0.7372527976,0.7105097720,0.7719331081,0.7589300780,0.7647890992,
twitter,random-is,0.5000555820231857,roberta,0.7647398584,0.7908501949,0.7402454805,0.7520479258,0.7874153796,0.7395714121,0.7351755626,0.7263598452,0.7696400193,0.7774174855,
webkb,adaptive-perplexity,0.366418358477247,roberta,0.8109465270,0.7788900756,0.7975601075,0.7592769478,0.7921983506,0.7801012490,0.8352481622,0.7971747874,0.8080375663,0.7952842181,
webkb,autoencoder-is,0.42497050912291173,roberta,0.7641566214,0.7507666129,0.7532657895,0.7845490171,0.7849226560,0.7967696740,0.8252293393,0.8251584481,0.8252364191,0.8025002655,
webkb,biois,0.3699772335187141,roberta,0.8294940333,0.8070213071,0.8096272680,0.7395982585,0.7785982355,0.7977261258,0.8574872529,0.8238722999,0.8244429231,0.8466077739,
webkb,gmm-is,0.3999810404566194,roberta,0.8213400454,0.8011778543,0.8158793252,0.7608714244,0.7860959433,0.8239482223,0.8006010119,0.8135405432,0.8100826952,0.7782017589,
webkb,no-is,0.0,roberta,0.8322456322,0.7838975320,0.8205272685,0.7844306799,0.7967725155,0.8210265077,0.8643865516,0.8247814476,0.8495532151,0.8482426717,
webkb,perplexity-is,0.4198886129978705,roberta,0.7974177888,0.8077502551,0.7692303307,0.7621975120,0.7736505598,0.7876488147,0.8523617391,0.7626264839,0.8147182212,0.8100074208,
webkb,random-is,0.5000067759869015,roberta,0.8119954504,0.7819109106,0.7748911975,0.7079608668,0.7246794608,0.7526589379,0.8231358044,0.7999111713,0.8207066558,0.7976219586,
yelp_reviews,adaptive-perplexity,0.4277777777777778,roberta,0.9679994880,0.9699989200,0.9819993520,0.9779999120,0.9759996160,0.9839997440,0.9739949030,0.9759938544,0.9779999120,0.9779999120,
yelp_reviews,autoencoder-is,0.3,roberta,0.9739998960,0.9659889804,0.9800000000,0.9739949030,0.9760000000,0.9799987199,0.9859994960,0.9779977998,0.9759938544,0.9759996160,
yelp_reviews,biois,0.2836666666666667,roberta,0.9739973997,0.9739998960,0.9840000000,0.9779999120,0.9779992080,0.9819993520,0.9719959674,0.9799996800,0.9799996800,0.9759996160,
yelp_reviews,gmm-is,0.5,roberta,0.9619961996,0.9819999280,0.9779992080,0.9719995520,0.9659987760,0.9779999120,0.9759984639,0.9819993520,0.9739949030,0.9739949030,
yelp_reviews,no-is,0.0,roberta,0.9819993520,0.9759903962,0.9859985999,0.9739998960,0.9699989200,0.9859999440,0.9699797063,0.9840000000,0.9779999120,0.9839989759,
yelp_reviews,perplexity-is,0.3,roberta,0.9719928302,0.9779977998,0.9859999440,0.9799987199,0.9839997440,0.9839989759,0.9720000000,0.9760000000,0.9799996800,0.9739998960,
yelp_reviews,random-is,0.5,roberta,0.9699969997,0.9819964713,0.9779956872,0.9759984639,0.9779999120,0.9839989759,0.9679918059,0.9839997440,0.9779992080,0.9759938544,
