dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
mpqa,no-is,0.0,roberta,0.8910516047,0.8903740722,0.8848309293,0.8712428915,0.8743687947,0.8942874688,0.9032350469,0.9170766855,0.9013509091,0.8861585106,
mpqa,perplexity-is,0.29963123611874326,roberta,0.8901112311,0.8956342115,0.8905679044,0.8818310068,0.8692593409,0.8956342115,0.9060144174,0.9000967070,0.8924835750,0.8823500395,
ohsumed,adaptive-perplexity,0.29780596433798656,roberta,0.7445988351,0.7242327645,0.7680088767,0.7342197186,0.7355245099,0.7285924810,0.7674582098,0.7592372953,0.7426009468,0.7301563119,
ohsumed,adaptive-v2-perplexity,0.38340072234335126,roberta,0.7352250672,0.7088108926,0.7195336397,0.7144561251,0.7191781438,0.7350791908,0.7613983964,0.7348989269,0.7374894817,0.7359131139,
ohsumed,autoencoder-is,0.29995507432094953,roberta,0.7510917489,0.7268201701,0.7324421371,0.7501106567,0.7276019504,0.7522907748,0.7499203937,0.7401075092,0.7426306684,0.7411721399,
ohsumed,biois,0.39798322851805207,roberta,0.7491417700,0.7227089230,0.7301734324,0.7171555239,0.7335255004,0.7498896899,0.7473898503,0.7201125702,0.7318528664,0.7356676717,
ohsumed,gmm-is,0.29995507432094953,roberta,0.7381770948,0.7292248301,0.7456218681,0.7328261540,0.7319275268,0.7583750360,0.7569438070,0.7311264681,0.7449510787,0.7415320612,
ohsumed,no-is,0.0,roberta,0.7874678978,0.7539261509,0.7721878142,0.7555663570,0.7530997053,0.7733617026,0.7812555144,0.7646093094,0.7636159166,0.7827699851,
ohsumed,perplexity-is,0.29995507432094953,roberta,0.7675094995,0.7133341232,0.7303187235,0.7182471544,0.7484859464,0.7615734153,0.7328043685,0.7491593706,0.7570396539,0.7664228179,
pang_movie,adaptive-perplexity,0.16631216337013469,roberta,0.8988760499,0.8836670609,0.8874260772,0.8827267247,0.8798640582,0.8893023092,0.8770318071,0.8874292473,0.9080662478,0.8892867202,
pang_movie,adaptive-v2-perplexity,0.3852206177735616,roberta,0.8969979659,0.8713099261,0.8883157382,0.8808604183,0.8836510871,0.8920781925,0.8825654923,0.8845982219,0.8921199801,0.8780380478,
pang_movie,autoencoder-is,0.299818671840805,roberta,0.8866420058,0.8874042778,0.8780470634,0.8874153767,0.8742326859,0.8939550935,0.8836277327,0.8855131713,0.8986809728,0.8759800880,
